type_value	subject	region	region_level	indicator2	val_indicator2	mean	se	n	n_res
pv	lit	regs	1	age_gr	1	253.0779198617469	6.104574383472111	138	.
pv	lit	regs	1	age_gr	2	257.1174567244987	4.176432811870414	97	.
pv	lit	regs	1	age_gr	3	254.5679978266377	7.042454913667891	32	.
pv	lit	regs	1	lnghome	1	245.9058032174705	4.477443845429823	107	.
pv	lit	regs	1	lnghome	2	259.7383058924524	5.339434523278748	156	.
pv	lit	regs	1	lnghome	3	253.4666238380888	24.71303907818923	3	.
pv	lit	regs	1	gender	1	254.437127282601	4.765462072815863	131	.
pv	lit	regs	1	gender	2	254.7363869725946	3.89632537150017	136	.
pv	lit	regs	1	edu11	2	255.0738145179644	10.97009585807861	39	.
pv	lit	regs	1	edu11	3	244.1905504973655	9.518876084079723	19	.
pv	lit	regs	1	edu11	4	254.5206684119048	4.839339293163608	63	.
pv	lit	regs	1	edu11	5	255.9593854213473	4.173368290314265	146	.
pv	lit	regs	2	age_gr	1	246.9192381233649	8.21130850022006	96	.
pv	lit	regs	2	age_gr	2	245.4893848584536	7.315362773551435	120	.
pv	lit	regs	2	age_gr	3	257.4399615024273	4.996494892813186	58	.
pv	lit	regs	2	lnghome	1	243.0772419200724	10.73278754413011	44	.
pv	lit	regs	2	lnghome	2	249.8975780849326	4.967638326971442	227	.
pv	lit	regs	2	gender	1	246.0425870328561	7.48232169217497	114	.
pv	lit	regs	2	gender	2	251.3903879388313	6.385310805027055	160	.
pv	lit	regs	2	edu11	2	237.8166868760841	7.101683948421952	48	.
pv	lit	regs	2	edu11	3	239.3228936786475	15.12793765454248	42	.
pv	lit	regs	2	edu11	4	254.4296552930603	7.225314644768646	109	.
pv	lit	regs	2	edu11	5	254.6431922585901	4.85324099646471	75	.
pv	lit	regs	3	age_gr	1	216.2116429402081	6.58517185275231	41	.
pv	lit	regs	3	age_gr	2	214.7079133566419	6.377064717673528	72	.
pv	lit	regs	3	age_gr	3	213.9810505887106	8.827312729525516	30	.
pv	lit	regs	3	lnghome	1	218.6363442938862	5.530283924174433	96	.
pv	lit	regs	3	lnghome	2	209.7399390225708	6.224767288710453	42	.
pv	lit	regs	3	lnghome	3	298.5618591308594	15.00187019239537	1	.
pv	lit	regs	3	gender	1	214.3126588281013	5.426405103492487	71	.
pv	lit	regs	3	gender	2	216.006641457163	5.194720145288128	72	.
pv	lit	regs	3	edu11	2	215.8295709947237	9.933389370058677	20	.
pv	lit	regs	3	edu11	3	218.5104875411666	34.09501771526954	4	.
pv	lit	regs	3	edu11	4	211.2691514898811	5.772475495984162	92	.
pv	lit	regs	3	edu11	5	227.7408724859434	6.333758010819086	27	.
pv	lit	regs	4	age_gr	1	213.6973775314835	5.709581906641309	96	.
pv	lit	regs	4	age_gr	2	222.412371663451	6.459372559842828	76	.
pv	lit	regs	4	age_gr	3	218.3028859469138	7.99661699669849	39	.
pv	lit	regs	4	lnghome	1	215.8644966463366	4.952212128043645	149	.
pv	lit	regs	4	lnghome	2	222.7456618234323	9.195636662584212	56	.
pv	lit	regs	4	gender	1	216.1843980289494	5.908494354192626	75	.
pv	lit	regs	4	gender	2	218.3454255434855	4.903600277681856	136	.
pv	lit	regs	4	edu11	2	211.442168342192	11.04180322414642	23	.
pv	lit	regs	4	edu11	3	219.2362578625468	7.493840188857862	31	.
pv	lit	regs	4	edu11	4	213.0585673931853	6.385808258279501	120	.
pv	lit	regs	4	edu11	5	230.7514266323851	11.03178827783436	36	.
pv	lit	regs	5	age_gr	1	263.764409746416	2.962389514339662	208	.
pv	lit	regs	5	age_gr	2	262.7625946925216	2.386328745352155	459	.
pv	lit	regs	5	age_gr	3	267.4723614600221	3.356970174679021	131	.
pv	lit	regs	5	lnghome	1	263.7318131759673	2.368602968983036	405	.
pv	lit	regs	5	lnghome	2	263.4775322378918	2.792374192755185	299	.
pv	lit	regs	5	lnghome	3	266.2579749894561	3.405109154838256	90	.
pv	lit	regs	5	gender	1	264.2900714429571	2.266800657559085	278	.
pv	lit	regs	5	gender	2	263.5306331150754	2.747518173167931	520	.
pv	lit	regs	5	edu11	2	253.9202664393521	5.286214808732907	76	.
pv	lit	regs	5	edu11	3	260.8867837307816	2.984705958485621	197	.
pv	lit	regs	5	edu11	4	263.9878116041882	2.709367117622996	287	.
pv	lit	regs	5	edu11	5	270.6028308050272	3.341279549587632	237	.
pv	lit	regs	6	age_gr	1	243.8054447256276	8.691541240289732	58	.
pv	lit	regs	6	age_gr	2	237.6437854492087	8.490472175856652	86	.
pv	lit	regs	6	age_gr	3	244.0781874535215	6.344300240273044	43	.
pv	lit	regs	6	lnghome	1	246.7768105401362	12.00037081010593	23	.
pv	lit	regs	6	lnghome	2	239.8109401068726	6.46089615705261	158	.
pv	lit	regs	6	lnghome	3	256.6448789308434	29.5512516028474	3	.
pv	lit	regs	6	gender	1	239.837269979935	7.221852806686197	74	.
pv	lit	regs	6	gender	2	242.4495057064938	6.887538955268211	113	.
pv	lit	regs	6	edu11	2	236.2628348845747	7.782455068769664	34	.
pv	lit	regs	6	edu11	3	237.7515909217773	9.691775252639607	33	.
pv	lit	regs	6	edu11	4	237.7883526577028	8.199995405422628	75	.
pv	lit	regs	6	edu11	5	253.8342699067825	9.216610194143378	45	.
pv	lit	regs	7	age_gr	1	240.3431599158537	10.58495711619927	45	.
pv	lit	regs	7	age_gr	2	245.4812703726268	7.696776323092581	100	.
pv	lit	regs	7	age_gr	3	244.5800876860038	6.806730894931023	71	.
pv	lit	regs	7	lnghome	1	239.9325450233754	9.081303194737695	39	.
