type_value	subject	region	region_level	indicator2	val_indicator2	mean	se	n	n_res
pv	lit	regs	1	age_gr	1	256.2276468195676	8.18251849974417	94	.
pv	lit	regs	1	age_gr	2	253.2717374821497	3.857385963312459	141	.
pv	lit	regs	1	age_gr	3	254.5679978266377	7.042454913667891	32	.
pv	lit	regs	1	lnghome	1	245.9058032174705	4.477443845429823	107	.
pv	lit	regs	1	lnghome	2	259.7383058924524	5.339434523278748	156	.
pv	lit	regs	1	lnghome	3	253.4666238380888	24.71303907818923	3	.
pv	lit	regs	1	gender	1	254.437127282601	4.765462072815863	131	.
pv	lit	regs	1	gender	2	254.7363869725946	3.89632537150017	136	.
pv	lit	regs	1	edu11	2	255.0738145179644	10.97009585807861	39	.
pv	lit	regs	1	edu11	3	250.2246743373168	4.812749174823537	62	.
pv	lit	regs	1	edu11	4	256.1220809352527	4.404752413179871	166	.
pv	lit	regs	1	vet	0	256.2171564874478	4.091075406120015	143	.
pv	lit	regs	1	vet	1	254.5206684119048	4.839339293163608	63	.
pv	lit	regs	2	age_gr	1	242.6043882852953	7.480777413201226	61	.
pv	lit	regs	2	age_gr	2	247.2375408217681	7.319876001569751	155	.
pv	lit	regs	2	age_gr	3	257.4399615024273	4.996494892813186	58	.
pv	lit	regs	2	lnghome	1	243.0772419200724	10.73278754413011	44	.
pv	lit	regs	2	lnghome	2	249.8975780849326	4.967638326971442	227	.
pv	lit	regs	2	gender	1	246.0425870328561	7.48232169217497	114	.
pv	lit	regs	2	gender	2	251.3903879388313	6.385310805027055	160	.
pv	lit	regs	2	edu11	2	237.8166868760841	7.101683948421952	48	.
pv	lit	regs	2	edu11	3	246.9430159536661	9.257545911052247	130	.
pv	lit	regs	2	edu11	4	257.6446941558023	4.468087862778698	96	.
pv	lit	regs	2	vet	0	254.6431922585901	4.85324099646471	75	.
pv	lit	regs	2	vet	1	254.4296552930603	7.225314644768646	109	.
pv	lit	regs	3	age_gr	1	225.0787019541959	7.267511557958163	25	.
pv	lit	regs	3	age_gr	2	211.8376220632596	5.779490591491596	88	.
pv	lit	regs	3	age_gr	3	213.9810505887106	8.827312729525516	30	.
pv	lit	regs	3	lnghome	1	218.6363442938862	5.530283924174433	96	.
pv	lit	regs	3	lnghome	2	209.7399390225708	6.224767288710453	42	.
pv	lit	regs	3	lnghome	3	298.5618591308594	15.00187019239537	1	.
pv	lit	regs	3	gender	1	214.3126588281013	5.426405103492487	71	.
pv	lit	regs	3	gender	2	216.006641457163	5.194720145288128	72	.
pv	lit	regs	3	edu11	2	215.8295709947237	9.933389370058677	20	.
pv	lit	regs	3	edu11	3	214.4559576535149	5.145823477637076	88	.
pv	lit	regs	3	edu11	4	215.9271665269188	9.878849187362619	35	.
pv	lit	regs	3	vet	0	227.7408724859434	6.333758010819086	27	.
pv	lit	regs	3	vet	1	211.2691514898811	5.772475495984162	92	.
pv	lit	regs	4	age_gr	1	212.5335954333027	6.228073402376569	59	.
pv	lit	regs	4	age_gr	2	220.0704391840921	6.447146957211026	113	.
pv	lit	regs	4	age_gr	3	218.3028859469138	7.99661699669849	39	.
pv	lit	regs	4	lnghome	1	215.8644966463366	4.952212128043645	149	.
pv	lit	regs	4	lnghome	2	222.7456618234323	9.195636662584212	56	.
pv	lit	regs	4	gender	1	216.1843980289494	5.908494354192626	75	.
pv	lit	regs	4	gender	2	218.3454255434855	4.903600277681856	136	.
pv	lit	regs	4	edu11	2	211.442168342192	11.04180322414642	23	.
pv	lit	regs	4	edu11	3	212.1014922306104	4.667347023899582	144	.
pv	lit	regs	4	edu11	4	235.9167374486966	10.99353881107162	43	.
pv	lit	regs	4	vet	0	230.7514266323851	11.03178827783436	36	.
pv	lit	regs	4	vet	1	213.0585673931853	6.385808258279501	120	.
pv	lit	regs	5	age_gr	1	265.079215611986	3.310404337282148	112	.
pv	lit	regs	5	age_gr	2	262.6143093007555	2.312421602022542	555	.
pv	lit	regs	5	age_gr	3	267.4723614600221	3.356970174679021	131	.
pv	lit	regs	5	lnghome	1	263.7318131759673	2.368602968983036	405	.
pv	lit	regs	5	lnghome	2	263.4775322378918	2.792374192755185	299	.
pv	lit	regs	5	lnghome	3	266.2579749894561	3.405109154838256	90	.
pv	lit	regs	5	gender	1	264.2900714429571	2.266800657559085	278	.
pv	lit	regs	5	gender	2	263.5306331150754	2.747518173167931	520	.
pv	lit	regs	5	edu11	2	253.9202664393521	5.286214808732907	76	.
pv	lit	regs	5	edu11	3	260.8798146179905	1.981551757503425	433	.
pv	lit	regs	5	edu11	4	272.0566867314739	3.325438794727996	288	.
pv	lit	regs	5	vet	0	270.6028308050272	3.341279549587632	237	.
pv	lit	regs	5	vet	1	263.9878116041882	2.709367117622996	287	.
pv	lit	regs	6	age_gr	1	225.5950015318243	9.185819031288704	24	.
pv	lit	regs	6	age_gr	2	242.6945438491734	7.91181811687578	120	.
pv	lit	regs	6	age_gr	3	244.0781874535215	6.344300240273044	43	.
pv	lit	regs	6	lnghome	1	246.7768105401362	12.00037081010593	23	.
pv	lit	regs	6	lnghome	2	239.8109401068726	6.46089615705261	158	.
pv	lit	regs	6	lnghome	3	256.6448789308434	29.5512516028474	3	.
pv	lit	regs	6	gender	1	239.837269979935	7.221852806686197	74	.
pv	lit	regs	6	gender	2	242.4495057064938	6.887538955268211	113	.
pv	lit	regs	6	edu11	2	236.2628348845747	7.782455068769664	34	.
pv	lit	regs	6	edu11	3	237.4974178171227	7.417554312051442	106	.
pv	lit	regs	6	edu11	4	253.9153582196682	8.84885141338067	47	.
pv	lit	regs	6	vet	0	253.8342699067825	9.216610194143378	45	.
pv	lit	regs	6	vet	1	237.7883526577028	8.199995405422628	75	.
pv	lit	regs	7	age_gr	1	251.9125634760206	13.50537098897099	30	.
pv	lit	regs	7	age_gr	2	242.1058622955038	8.090823253257495	115	.
pv	lit	regs	7	age_gr	3	244.5800876860038	6.806730894931023	71	.
pv	lit	regs	7	lnghome	1	239.9325450233754	9.081303194737695	39	.
pv	lit	regs	7	lnghome	2	244.9969156561868	6.456420725102459	174	.
pv	lit	regs	7	gender	1	241.0130856512006	6.507048098271452	75	.
pv	lit	regs	7	gender	2	246.5542250136248	6.51557127572485	141	.
pv	lit	regs	7	edu11	2	232.6591663739214	6.608175121817856	46	.
pv	lit	regs	7	edu11	3	241.9270292832085	7.207210998476087	94	.
pv	lit	regs	7	edu11	4	255.4654819711506	6.584247150272402	76	.
pv	lit	regs	7	vet	0	255.8738312017694	6.698297571163953	59	.
pv	lit	regs	7	vet	1	239.7710048429678	7.578429330605517	81	.
pv	lit	regs	8	age_gr	1	259.4383680708773	4.686491446481534	65	.
pv	lit	regs	8	age_gr	2	258.1409046323176	4.527171692241686	347	.
pv	lit	regs	8	age_gr	3	251.0192601177053	5.67371585316985	126	.
pv	lit	regs	8	lnghome	1	250.6893620492984	6.131914329151977	156	.
pv	lit	regs	8	lnghome	2	259.3333109487629	3.737849116552228	381	.
pv	lit	regs	8	gender	1	254.616660628773	4.761724856765508	214	.
pv	lit	regs	8	gender	2	258.2253581019097	4.303895574552437	324	.
pv	lit	regs	8	edu11	2	251.4635817031289	8.910954582814194	55	.
pv	lit	regs	8	edu11	3	254.7067136764192	3.764002655346116	329	.
pv	lit	regs	8	edu11	4	262.8655576932444	6.289535435473859	154	.
pv	lit	regs	8	vet	0	262.7407953164845	6.676671086296285	137	.
pv	lit	regs	8	vet	1	255.8984118840438	4.296552035244671	262	.
pv	lit	regs	9	age_gr	1	264.0206924482281	5.20786707887471	134	.
pv	lit	regs	9	age_gr	2	270.8685352859656	4.562549848533115	422	.
pv	lit	regs	9	age_gr	3	270.0727404883921	3.442770345050227	131	.
pv	lit	regs	9	lnghome	1	264.1723432432391	4.567435610867685	285	.
pv	lit	regs	9	lnghome	2	273.2170950650648	3.202923564193958	381	.
pv	lit	regs	9	lnghome	3	263.1301461939692	10.35120569415412	10	.
pv	lit	regs	9	gender	1	271.9118212352768	4.515712998916233	248	.
pv	lit	regs	9	gender	2	266.9995024669244	3.545256965923367	439	.
pv	lit	regs	9	edu11	2	266.0504608690692	5.619325674877916	45	.
pv	lit	regs	9	edu11	3	270.6581004190524	3.183539276995211	266	.
pv	lit	regs	9	edu11	4	268.5807410805607	5.030765011081384	376	.
pv	lit	regs	9	vet	0	268.6810441339964	5.030363652025415	329	.
pv	lit	regs	9	vet	1	271.2706178225528	3.240562450080386	204	.
pv	lit	regs	10	age_gr	1	251.1575442725085	6.011436523086334	50	.
pv	lit	regs	10	age_gr	2	260.3846019512434	4.224908085337582	170	.
pv	lit	regs	10	age_gr	3	249.3111059557017	4.941124237565174	72	.
pv	lit	regs	10	lnghome	1	250.3269642876517	5.30792136485739	105	.
pv	lit	regs	10	lnghome	2	259.6627941778379	3.867214591739439	186	.
pv	lit	regs	10	gender	1	252.0901008607786	4.916837387997616	132	.
pv	lit	regs	10	gender	2	261.0458111888619	3.721135088204943	160	.
pv	lit	regs	10	edu11	2	246.2167475804972	6.345013251337006	52	.
pv	lit	regs	10	edu11	3	255.055701427833	5.093321271174656	132	.
pv	lit	regs	10	edu11	4	262.7017642885922	5.013074573125125	108	.
pv	lit	regs	10	vet	0	261.2891450591894	5.205500096039895	88	.
pv	lit	regs	10	vet	1	258.5134538657053	5.28412748247221	125	.
pv	lit	regs	11	age_gr	1	237.1627341800236	7.1971769306382	54	.
pv	lit	regs	11	age_gr	2	235.8133676686279	3.721639903724314	205	.
pv	lit	regs	11	age_gr	3	223.9632664591258	5.248647316240278	88	.
pv	lit	regs	11	lnghome	1	226.3787392624604	3.464326975522622	205	.
pv	lit	regs	11	lnghome	2	245.1432953532772	4.537927596261813	141	.
pv	lit	regs	11	lnghome	3	262.2469848632813	18.20300309926814	1	.
