type_value	subject	indicator2	val_indicator2	mean	se	n	n_res
pv	lit	edu11	2	238.8157390542983	2.289936338188879	791	.
pv	lit	edu11	3	248.2159002534165	1.711570258622429	944	.
pv	lit	edu11	4	246.4046813285298	1.34014876632724	2304	.
pv	lit	edu11	5	257.7605403359089	1.592315396796547	2002	.
pv	lit	b_q02a_t1	1	251.6200337342417	1.789981690665224	1492	.
pv	lit	b_q02a_t1	2	248.2918220756125	1.149996961740793	4550	.
pv	lit	b_q01b	1	251.437805025287	1.633138222976377	1092	.
pv	lit	b_q01b	2	248.7535693056831	2.343275769502454	662	.
pv	lit	b_q01b	3	254.1896768199122	2.946467050274086	445	.
pv	lit	b_q01b	4	253.8226074121363	3.000264163978019	570	.
pv	lit	b_q01b	5	259.2112918349486	3.189238800296235	388	.
pv	lit	b_q01b	6	253.5849095356853	2.036940460011403	859	.
pv	lit	b_q01b	7	242.2886798362719	3.358197619126751	238	.
pv	lit	b_q01b	8	253.5921236676238	2.958721656591245	380	.
pv	lit	b_q01b	9	239.492731980365	2.345259530705278	602	.
pv	lit	c_d05	1	252.5173091458139	1.326158014272008	3674	.
pv	lit	c_d05	2	245.4899409404911	3.718713495040221	196	.
pv	lit	c_d05	3	243.9366686025743	1.404802600768509	2170	.
pv	lit	c_d05	4	238.6653877358148	31.53359493999456	3	.
pv	lit	c_d09	1	252.5203453814109	1.325332181845953	3675	.
pv	lit	c_d09	2	238.5334288227277	2.547857499442358	504	.
pv	lit	c_d09	3	249.732388905764	1.866303365004456	911	.
pv	lit	c_d09	4	241.9245843402673	1.812823776957078	953	.
pv	lit	d_q03	1	252.7841521750376	1.538057042430557	2473	.
pv	lit	d_q03	2	251.6445433439359	1.8084980180297	1157	.
pv	lit	d_q03	3	269.3342298942474	8.840373304176074	25	.
pv	lit	d_q04	1	253.4507546437754	1.421822158530591	2983	.
pv	lit	d_q04	2	250.6750206583901	2.498847830139528	572	.
pv	lit	d_q04_t1	1	252.4223586380015	1.349604242738838	2479	.
pv	lit	d_q04_t1	2	256.0296549242132	4.460756702421299	257	.
pv	lit	d_q04_t1	3	261.3316533397007	3.695272652772375	246	.
pv	lit	d_q04_t1	4	250.6750206583901	2.498847830139528	572	.
pv	lit	neet	0	251.4357124564711	1.290164353244261	4310	.
pv	lit	neet	1	243.22841938461	1.325711825058768	1729	.
pv	lit	d_q04	1	253.4507546437754	1.421822158530591	2983	.
pv	lit	d_q04	2	250.6750206583901	2.498847830139528	572	.
pv	lit	d_q06c	1	251.6171062429052	2.153520137529343	1219	.
pv	lit	d_q06c	2	253.7942063364726	1.493411256717728	1855	.
pv	lit	d_q09	1	253.7031412330946	1.757173942210844	1479	.
pv	lit	d_q09	2	257.77633876128	2.907837374982805	577	.
pv	lit	d_q09	3	247.1978111587929	4.440445999509427	171	.
pv	lit	d_q09	4	253.8874393270057	4.121195967464566	205	.
pv	lit	d_q09	5	251.3544200899115	2.705201602988416	505	.
pv	lit	d_q09	6	224.6001252399592	7.168625114023535	39	.
pv	lit	paidwork5	0	244.003409245606	1.435867104159301	1386	.
pv	lit	paidwork5	1	250.7982993670486	1.183850507844926	4653	.
pv	lit	paidwork12	0	245.1762617124798	1.38773691111405	1910	.
pv	lit	paidwork12	1	251.0502662240886	1.233697049602397	4133	.
pv	lit	nopaidworkever	0	250.7195130143725	1.134958012436299	5072	.
pv	lit	nopaidworkever	1	241.7639926114062	1.780252873152602	971	.
pv	lit	edwork	1	250.4573328196164	3.115468825967279	398	.
pv	lit	edwork	2	254.6714557304461	3.563630237083517	176	.
pv	lit	edwork	3	252.4060748876964	1.350542066345322	3498	.
pv	lit	edwork	4	237.8693272290342	3.930455545355641	239	.
pv	lit	edwork	5	243.2718537768592	1.321960005480493	1730	.
pv	lit	d_q12b	1	255.9489619075402	1.613463825861277	2109	.
pv	lit	d_q12b	2	250.9186538902921	3.521893490585856	345	.
pv	lit	d_q12b	3	243.4359245384649	2.921561951427686	387	.
pv	lit	d_q13a	1	247.6096890082974	1.897411595076506	895	.
pv	lit	d_q13a	2	258.3070382133515	2.432021374873408	828	.
pv	lit	d_q13a	3	261.5690026819579	2.666946306024848	516	.
pv	lit	d_q13a	4	256.7698742841401	2.208050573623836	401	.
pv	lit	d_q13a	5	242.2462757923547	2.470086514788902	623	.
pv	lit	d_q13b	1	248.649525403751	1.779536544705365	831	.
pv	lit	d_q13b	2	259.2173544173772	2.717957719694353	929	.
pv	lit	d_q13b	3	257.984391551188	2.319680763461686	615	.
pv	lit	d_q13b	4	253.0500353649108	2.701549387697816	483	.
pv	lit	d_q13b	5	243.3604788472254	2.162698090793624	792	.
pv	lit	d_q13c	1	247.5402994311759	1.787243416386546	950	.
pv	lit	d_q13c	2	258.9327758634462	2.247266053699181	979	.
pv	lit	d_q13c	3	259.8064418850138	2.120511660816653	589	.
pv	lit	d_q13c	4	254.7060652324481	2.581128519039178	482	.
pv	lit	d_q13c	5	241.697091886727	2.252940305375504	654	.
pv	lit	f_q01b	1	243.2201374105963	3.169916373810155	389	.
pv	lit	f_q01b	2	254.3458717848928	1.947345239291337	1114	.
pv	lit	f_q01b	3	254.7421320714144	2.397136356891985	614	.
pv	lit	f_q01b	4	253.6824526458503	2.65230509230292	573	.
pv	lit	f_q01b	5	246.6870511211592	1.950420696274291	1038	.
pv	lit	f_q02a	1	245.3988601298115	2.142580762963964	782	.
pv	lit	f_q02a	2	246.626604526092	2.550205957117379	538	.
pv	lit	f_q02a	3	257.7395124434424	3.236588772204108	332	.
pv	lit	f_q02a	4	258.9058382136122	1.999211190697921	647	.
pv	lit	f_q02a	5	250.3571262312725	1.687150755838843	1864	.
pv	lit	f_q02b	1	249.5429938279386	1.498765713945189	2152	.
pv	lit	f_q02b	2	252.822022546817	2.313901041061846	595	.
pv	lit	f_q02b	3	252.9543710610059	3.447282074567563	282	.
pv	lit	f_q02b	4	256.4423354445237	2.296015207005419	377	.
pv	lit	f_q02b	5	249.6309442779119	2.537832884421327	754	.
pv	lit	f_q02c	1	250.9052810770501	1.327327719976593	2945	.
pv	lit	f_q02c	2	251.4292991065392	2.438594838437239	547	.
pv	lit	f_q02c	3	256.3593904407559	3.70719107233261	281	.
pv	lit	f_q02c	4	249.1142324267112	3.698239084717453	197	.
pv	lit	f_q02c	5	241.9429604221987	4.534471053328085	194	.
pv	lit	f_q02d	1	249.7788607763758	1.38096091824073	2555	.
pv	lit	f_q02d	2	245.4421245904954	3.538389862897059	204	.
pv	lit	f_q02d	3	247.7863939928814	4.325765788726429	132	.
pv	lit	f_q02d	4	251.8395004371703	4.237649770061569	171	.
