type_value	subject	region	region_level	indicator2	val_indicator2	mean	se	n	n_res
lev2	lit	regs	1	age_gr	1	.7557991959985875	.0583668900537745	138	.
lev2	lit	regs	1	age_gr	2	.792540499737481	.0558266161284289	97	.
lev2	lit	regs	1	age_gr	3	.7958844786328763	.0758826534175502	32	.
lev2	lit	regs	1	lnghome	1	.6985598485553568	.0549245231072217	107	.
lev2	lit	regs	1	lnghome	2	.8175101854656335	.0543726836150159	156	.
lev2	lit	regs	1	lnghome	3	.8764433058284522	.3495826785063978	3	.
lev2	lit	regs	1	gender	1	.7749293000162424	.0570006231028965	131	.
lev2	lit	regs	1	gender	2	.7715759170931342	.0468212052982637	136	.
lev2	lit	regs	1	edu11	2	.7392368597157036	.107236618955293	39	.
lev2	lit	regs	1	edu11	3	.7246390333829144	.1232907753881759	19	.
lev2	lit	regs	1	edu11	4	.8131168895058676	.054286409667061	63	.
lev2	lit	regs	1	edu11	5	.7716020797995731	.0499682319627064	146	.
lev2	lit	regs	2	age_gr	1	.7199368979069746	.0881266868740023	96	.
lev2	lit	regs	2	age_gr	2	.6923109354101092	.068043610223717	120	.
lev2	lit	regs	2	age_gr	3	.8155670566541342	.06528551018176	58	.
lev2	lit	regs	2	lnghome	1	.6582715106188186	.102743870832336	44	.
lev2	lit	regs	2	lnghome	2	.7458784460466781	.0498137438557479	227	.
lev2	lit	regs	2	gender	1	.7080991359356053	.0757838846576796	114	.
lev2	lit	regs	2	gender	2	.7508820310466501	.0643260186658424	160	.
lev2	lit	regs	2	edu11	2	.63348060597279	.1044810048609363	48	.
lev2	lit	regs	2	edu11	3	.6464087818469542	.130769746503586	42	.
lev2	lit	regs	2	edu11	4	.7792397667927797	.0682002799884231	109	.
lev2	lit	regs	2	edu11	5	.7828594950940215	.0779465259667389	75	.
lev2	lit	regs	3	age_gr	1	.4216044749124945	.1102602913240064	41	.
lev2	lit	regs	3	age_gr	2	.3997410195427424	.0853664484951794	72	.
lev2	lit	regs	3	age_gr	3	.3352434187232738	.1271010637188201	30	.
lev2	lit	regs	3	lnghome	1	.4310551589286501	.0878587954240796	96	.
lev2	lit	regs	3	lnghome	2	.3334811926624285	.0981509660280418	42	.
lev2	lit	regs	3	lnghome	3	.9999999999999999	1.22739773543e-16	1	.
lev2	lit	regs	3	gender	1	.3879845967538592	.085400354076718	71	.
lev2	lit	regs	3	gender	2	.3991854656387639	.0743680337898901	72	.
lev2	lit	regs	3	edu11	2	.3604056986069277	.1700980486796658	20	.
lev2	lit	regs	3	edu11	3	.4320541607933983	.332741356548048	4	.
lev2	lit	regs	3	edu11	4	.3769268183183146	.0682247704313147	92	.
lev2	lit	regs	3	edu11	5	.476129466502455	.1316022857619099	27	.
lev2	lit	regs	4	age_gr	1	.354258106600887	.0620575993036594	96	.
lev2	lit	regs	4	age_gr	2	.459785503791038	.0728242591070057	76	.
lev2	lit	regs	4	age_gr	3	.48601420125476	.0998007075275715	39	.
lev2	lit	regs	4	lnghome	1	.3929610090066001	.0503428393043589	149	.
lev2	lit	regs	4	lnghome	2	.5041733777134619	.1016995571799276	56	.
lev2	lit	regs	4	gender	1	.4212074755095478	.063441168798328	75	.
lev2	lit	regs	4	gender	2	.4130355667927471	.0546775876969577	136	.
lev2	lit	regs	4	edu11	2	.3988845785774228	.1010409592070869	23	.
lev2	lit	regs	4	edu11	3	.4215426447741646	.0922254839695435	31	.
lev2	lit	regs	4	edu11	4	.367846748552369	.0637285930017498	120	.
lev2	lit	regs	4	edu11	5	.5492611826416318	.1561510900096281	36	.
lev2	lit	regs	5	age_gr	1	.8932339588245835	.0277657258849216	208	.
lev2	lit	regs	5	age_gr	2	.8909003576400821	.0213404610019851	459	.
lev2	lit	regs	5	age_gr	3	.9247751211801503	.0369416483882589	131	.
lev2	lit	regs	5	lnghome	1	.8923058592813293	.0263385359015875	405	.
lev2	lit	regs	5	lnghome	2	.8996550545163895	.0268899133969468	299	.
lev2	lit	regs	5	lnghome	3	.9166696646266228	.0380412063173283	90	.
lev2	lit	regs	5	gender	1	.9106949824844893	.0267509011329602	278	.
lev2	lit	regs	5	gender	2	.8861703410678119	.0249052544289003	520	.
lev2	lit	regs	5	edu11	2	.8455143385758669	.0675958578145945	76	.
lev2	lit	regs	5	edu11	3	.8870601538422971	.0384370855647401	197	.
lev2	lit	regs	5	edu11	4	.9020455015079381	.0321177379269565	287	.
lev2	lit	regs	5	edu11	5	.9209581121515774	.0257845007316328	237	.
lev2	lit	regs	6	age_gr	1	.6668266886765245	.1026711370406064	58	.
lev2	lit	regs	6	age_gr	2	.635050597146358	.1071842399869073	86	.
lev2	lit	regs	6	age_gr	3	.7204086607682683	.1070452041562167	43	.
lev2	lit	regs	6	lnghome	1	.7768947314596775	.1502788566951196	23	.
lev2	lit	regs	6	lnghome	2	.6439162539083989	.0775349900048604	158	.
lev2	lit	regs	6	lnghome	3	.7616066220584843	.3880581025183427	3	.
lev2	lit	regs	6	gender	1	.6589432341256549	.0957029740876	74	.
lev2	lit	regs	6	gender	2	.6749458965388245	.085433967782319	113	.
lev2	lit	regs	6	edu11	2	.5958886650195692	.1312144277622046	34	.
lev2	lit	regs	6	edu11	3	.6691095304906958	.1206640842651833	33	.
