type_value	subject	category	mean_val	se	n	
earn	age_gr	1	88311.99755961128	2318.041188572039	666
earn	age_gr	2	89845.01672791418	2238.727085336297	1577
earn	age_gr	3	77087.77105102295	2480.840533859752	468
earn	lnghome	1	83157.97317886517	1835.76812670215	1157
earn	lnghome	2	89510.05771526066	1721.685012276213	1457
earn	lnghome	3	78049.79673414468	4364.852690329462	70
earn	gender	1	93930.16790972381	1964.475154934332	1183
earn	gender	2	78917.34018486828	2163.663727304495	1528
earn	edu11	2	81875.80352665324	3984.656675071836	226
earn	edu11	3	70114.62600312261	2864.620413727514	335
earn	edu11	4	82227.02823529128	2510.242875835282	1130
earn	edu11	5	100633.0702127726	2338.809356115438	1019
earn	regs	1	127791.5508927554	6453.886436523124	118
earn	regs	2	75910.23571033543	5867.996982185196	135
earn	regs	3	105961.8986924001	22511.58647981265	49
earn	regs	4	84844.6058662624	6842.632234498964	82
earn	regs	5	74720.85383147435	2838.249884899806	401
earn	regs	6	71326.92093668148	5635.854704678172	97
earn	regs	7	71095.32249203618	4563.135133480945	75
earn	regs	8	77110.06951234152	3181.347382045286	284
earn	regs	9	103072.8226944089	4004.906199778236	276
earn	regs	10	84701.60517491339	6862.032897259169	155
earn	regs	11	85223.7982065004	6915.040985298822	119
earn	regs	12	93889.98788699157	2583.984689572454	298
earn	regs	13	98706.78028884191	5720.430038974151	122
earn	regs	14	72946.66557614805	4886.711714160025	131
earn	regs	15	74034.83209421198	5769.333707991562	149
earn	regs	16	90312.42286644554	7050.528619261671	219
