earnmth,edu11,gender,age_gr,regs,lnghome
50000, Lower Secondary or less,2,aged 50+,KZ1,rus
95000,Tertiary,2,aged 50+,KZ1,rus
130000,Tertiary,1,aged 16 to 29,KZ1,rus
100000,Tertiary,2,aged 30 to 50,KZ1,rus
4583.333333333333,Vocational,1,aged 30 to 50,,
140000,Tertiary,2,aged 30 to 50,KZ1,rus
180000,Tertiary,2,aged 50+,KZ1,kaz
50000, Lower Secondary or less,1,aged 16 to 29,KZ1,rus
90000, Lower Secondary or less,1,aged 30 to 50,KZ1,rus
200000,Tertiary,1,aged 16 to 29,KZ1,rus
90000,Vocational,2,aged 16 to 29,KZ1,kaz
220000,Tertiary,2,aged 16 to 29,KZ1,rus
220000,Tertiary,1,aged 30 to 50,KZ1,rus
200000,Tertiary,1,aged 16 to 29,KZ1,rus
70000,Vocational,2,aged 16 to 29,KZ1,kaz
98000,Tertiary,1,aged 30 to 50,KZ1,rus
80000,Tertiary,2,aged 30 to 50,KZ1,kaz
48000,Tertiary,1,aged 16 to 29,KZ1,rus
120000,Tertiary,1,aged 30 to 50,KZ1,rus
75000,Vocational,1,aged 16 to 29,KZ1,rus
160000,Tertiary,1,aged 30 to 50,KZ1,rus
80000,Vocational,1,aged 50+,KZ1,kaz
170000,Tertiary,2,aged 30 to 50,KZ1,kaz
100000,Tertiary,2,aged 50+,KZ1,kaz
32500,Tertiary,2,aged 16 to 29,KZ1,kaz
180000,Vocational,1,aged 30 to 50,KZ1,rus
140000,Vocational,1,aged 50+,KZ1,other
80000,Vocational,1,aged 50+,KZ1,rus
220000,Tertiary,2,aged 30 to 50,KZ1,kaz
150000,Tertiary,2,aged 30 to 50,KZ1,kaz
70000,Vocational,1,aged 16 to 29,KZ1,rus
70000, Lower Secondary or less,1,aged 16 to 29,KZ1,kaz
110000,Vocational,1,aged 50+,KZ1,kaz
240000,Tertiary,1,aged 16 to 29,KZ1,kaz
200000,Tertiary,1,aged 16 to 29,KZ1,rus
173333.3333333333,Tertiary,2,aged 30 to 50,KZ1,rus
120000,Tertiary,1,aged 30 to 50,KZ1,rus
130000,Tertiary,1,aged 16 to 29,KZ1,kaz
110000,Tertiary,1,aged 16 to 29,KZ1,kaz
173333.3333333333,Tertiary,1,aged 16 to 29,KZ1,rus
195000,Tertiary,1,aged 16 to 29,KZ1,kaz
140833.3333333333,Vocational,2,aged 16 to 29,KZ1,rus
80000,Tertiary,2,aged 30 to 50,KZ1,rus
100000,Vocational,2,aged 30 to 50,KZ1,kaz
124800, Lower Secondary or less,2,aged 16 to 29,KZ1,kaz
108333.3333333333, Lower Secondary or less,1,aged 16 to 29,KZ1,kaz
80000,Vocational,2,aged 50+,KZ1,rus
130000,Tertiary,1,aged 30 to 50,KZ1,rus
2080,Tertiary,1,aged 30 to 50,KZ1,kaz
150000,Vocational,1,aged 16 to 29,KZ1,rus
130000,Tertiary,1,aged 16 to 29,KZ1,kaz
130000,Tertiary,1,aged 16 to 29,KZ1,rus
110000,Tertiary,1,aged 16 to 29,KZ1,rus
85000,Tertiary,2,aged 16 to 29,KZ1,kaz
140269.7495183045,Tertiary,2,aged 30 to 50,KZ1,rus
150289.0173410405, Lower Secondary or less,2,aged 30 to 50,KZ1,kaz
250000,Tertiary,1,aged 16 to 29,KZ1,rus
109200,Tertiary,1,aged 16 to 29,KZ1,kaz
